Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
LimeBased_neighbours,500,50,0.4927911904761904,0.597
LimeBased_neighbours,500,50,0.5642019047619047,0.5098333333333334
LimeBased_neighbours,500,50,0.5140704761904761,0.5166666666666667
LimeBased_neighbours,500,50,0.5544809523809524,0.4963333333333333
LimeBased_neighbours,500,50,0.6342916666666666,0.7833333333333333
LimeBased_neighbours,500,50,0.514252619047619,0.53
LimeBased_neighbours,500,50,0.7175107142857143,0.780357142857143
LimeBased_neighbours,500,50,0.596812380952381,0.5810238095238096
LimeBased_neighbours,500,50,0.7289269047619048,0.6436904761904763
LimeBased_neighbours,500,50,0.4521990476190476,0.3119999999999999
LimeBased_neighbours,500,50,0.3599976190476189,0.55
LimeBased_neighbours,500,50,0.517108095238095,0.5266666666666667
LimeBased_neighbours,500,50,0.7277590476190475,0.6378571428571428
LimeBased_neighbours,500,50,0.4396221428571428,0.5466666666666667
LimeBased_neighbours,500,50,0.6968654761904761,0.835
LimeBased_neighbours,500,50,0.5936790476190477,0.4385
LimeBased_neighbours,500,50,0.4558007142857142,0.24
KDE_neighbours,500,50,0.5940833333333333,0.6575
KDE_neighbours,500,50,0.22,0.405
KDE_neighbours,500,50,0.3697833333333333,0.6636666666666667
KDE_neighbours,500,50,0.2029833333333333,0.5333333333333333
KDE_neighbours,500,50,0.5029833333333333,0.607
KDE_neighbours,500,50,0.69,0.5811666666666667
KDE_neighbours,500,50,0.83,0.7201904761904763
KDE_neighbours,500,50,0.3672833333333333,0.5733333333333334
KDE_neighbours,500,50,0.24,0.5916666666666667
KDE_neighbours,500,50,0.19,0.5366666666666667
KDE_neighbours,500,50,0.22,0.45
KDE_neighbours,500,50,0.6365833333333333,0.6291666666666668
KDE_neighbours,500,50,0.55,0.5986904761904761
KDE_neighbours,500,50,0.4340833333333333,0.5413333333333333
KDE_neighbours,500,50,0.55,0.4386666666666666
KDE_neighbours,500,50,0.81,0.7131904761904763
KDE_neighbours,500,50,0.5727666666666666,0.6683333333333334
KDE_neighbours,500,50,0.3868000000000001,0.5566666666666668
KDE_neighbours,500,50,0.56,0.6428571428571429
KDE_neighbours,500,50,0.6197833333333334,0.5841666666666666
PlugInvalid_neighbours,500,50,0.7982499999999999,0.8275
PlugInvalid_neighbours,500,50,0.7527499999999999,0.7283333333333333
PlugInvalid_neighbours,500,50,0.76125,0.7683333333333333
PlugInvalid_neighbours,500,50,0.4337499999999998,0.6275
PlugInvalid_neighbours,500,50,0.5324999999999999,0.6266666666666666
PlugInvalid_neighbours,500,50,0.2032500000000001,0.5716666666666668
PlugInvalid_neighbours,500,50,0.7227499999999999,0.667357142857143
PlugInvalid_neighbours,500,50,0.8,0.7933333333333333
PlugInvalid_neighbours,500,50,0.79425,0.7383333333333333
PlugInvalid_neighbours,500,50,0.5217499999999998,0.495
PlugInvalid_neighbours,500,50,0.4579999999999998,0.5916666666666667
PlugInvalid_neighbours,500,50,0.5552499999999999,0.6583333333333334
PlugInvalid_neighbours,500,50,0.3192500000000001,0.5000000000000001
PlugInvalid_neighbours,500,50,0.7327499999999999,0.5773571428571428
PlugInvalid_neighbours,500,50,0.7655,0.7333333333333333
PlugInvalid_neighbours,500,50,0.5954999999999999,0.5016666666666667
PlugInvalid_neighbours,500,50,0.4634999999999998,0.6641666666666667
PlugInvalid_neighbours,500,50,0.65975,0.6870238095238095
PlugInvalid_neighbours,500,50,0.3922499999999999,0.6066666666666667
PlugInvalid_neighbours,500,50,0.7655,0.6503571428571427
target-20-neighbours,500,50,0.52,0.4511666666666666
target-20-neighbours,500,50,0.48,0.507
target-20-neighbours,500,50,0.24,0.442
target-20-neighbours,500,50,0.54,0.4786666666666667
target-20-neighbours,500,50,0.65,0.642
target-20-neighbours,500,50,0.6,0.5845
target-20-neighbours,500,50,0.32,0.39
target-20-neighbours,500,50,0.48,0.4703333333333333
target-20-neighbours,500,50,0.68,0.632
target-20-neighbours,500,50,0.38,0.382
target-20-neighbours,500,50,0.54,0.4611666666666666
target-20-neighbours,500,50,0.35,0.43
target-20-neighbours,500,50,0.41,0.4103333333333333
target-20-neighbours,500,50,0.49,0.522
target-20-neighbours,500,50,0.65,0.5670000000000001
target-20-neighbours,500,50,0.53,0.5211666666666667
target-20-neighbours,500,50,0.65,0.6261666666666666
target-20-neighbours,500,50,0.43,0.5311666666666667
target-20-neighbours,500,50,0.41,0.437
target-20-neighbours,500,50,0.35,0.457
Random_neighbours,500,50,0.4389721428571428,0.37
Random_neighbours,500,50,0.22954,0.4145
Random_neighbours,500,50,0.3163516666666666,0.3253333333333333
