Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
Random_neighbours,1000,50,0.6447290355000002,0.02497205
LimeBased_neighbours,1000,50,0.56539820885,0.527027
LimeBased_neighbours,1000,50,0.46569116735000016,0.822507
LimeBased_neighbours,1000,50,0.7477219025,0.6102745
LimeBased_neighbours,1000,50,0.7667203950000002,0.527027
LimeBased_neighbours,1000,50,0.6034041333333334,0.8029774999999999
LimeBased_neighbours,1000,50,0.6877367285000002,0.6062485
LimeBased_neighbours,1000,50,0.5915570303500002,0.838919
LimeBased_neighbours,1000,50,0.52407270685,0.470516
LimeBased_neighbours,1000,50,0.6343527850000001,0.1584975
LimeBased_neighbours,1000,50,0.716966055,0.798284
LimeBased_neighbours,1000,50,0.7890817600000003,0.5790115
LimeBased_neighbours,1000,50,0.4119618035166668,0.8415025
LimeBased_neighbours,1000,50,0.5774959560000001,0.851071
LimeBased_neighbours,1000,50,0.7012465999999999,0.4938425
LimeBased_neighbours,1000,50,0.6339247601833335,0.4459465
LimeBased_neighbours,1000,50,0.6081898763500001,0.8179529999999999
LimeBased_neighbours,1000,50,0.4660986928500001,0.8050299999999999
LimeBased_neighbours,1000,50,0.5537706153499999,0.851071
LimeBased_neighbours,1000,50,0.73378007,0.519656
LimeBased_neighbours,1000,50,0.772728704,0.12011285
KDE_neighbours,1000,50,0.7053333333333334,0.0
KDE_neighbours,1000,50,0.26,0.6868205000000001
KDE_neighbours,1000,50,0.9197502800000001,0.7412084999999999
KDE_neighbours,1000,50,0.752,0.4889165
KDE_neighbours,1000,50,0.54975028,0.7861335
KDE_neighbours,1000,50,0.91,0.6868205000000001
KDE_neighbours,1000,50,0.8597502800000001,0.75297
KDE_neighbours,1000,50,0.89950056,0.851071
KDE_neighbours,1000,50,0.20150056,0.02497205
KDE_neighbours,1000,50,0.29740653,0.7963100000000001
KDE_neighbours,1000,50,0.8797502800000001,0.5740735
KDE_neighbours,1000,50,0.8695005600000001,0.7552305
KDE_neighbours,1000,50,0.8695005600000001,0.8050299999999999
KDE_neighbours,1000,50,0.45950056000000006,0.8135255
KDE_neighbours,1000,50,0.92975028,0.6777124999999999
KDE_neighbours,1000,50,0.31975028,0.5
KDE_neighbours,1000,50,0.19,0.02497205
KDE_neighbours,1000,50,0.162,0.02497205
KDE_neighbours,1000,50,0.88950056,0.8415025
KDE_neighbours,1000,50,0.8695005600000001,0.731305
PlugInvalid_neighbours,1000,50,0.34,0.02497205
PlugInvalid_neighbours,1000,50,0.22067230000000002,0.02497205
PlugInvalid_neighbours,1000,50,0.72052535,0.7176830000000001
PlugInvalid_neighbours,1000,50,0.33,0.0
PlugInvalid_neighbours,1000,50,0.52,0.02497205
PlugInvalid_neighbours,1000,50,0.8112258166666665,0.8363735
PlugInvalid_neighbours,1000,50,0.26783615,0.0
PlugInvalid_neighbours,1000,50,0.155,0.8320175000000001
PlugInvalid_neighbours,1000,50,0.38052534999999993,0.7793285000000001
PlugInvalid_neighbours,1000,50,0.9059037499999997,0.65584
PlugInvalid_neighbours,1000,50,0.215,0.02497205
PlugInvalid_neighbours,1000,50,0.7026891999999999,0.02497205
PlugInvalid_neighbours,1000,50,0.8175422499999998,0.8320175000000001
PlugInvalid_neighbours,1000,50,0.8132145499999998,0.8271935
PlugInvalid_neighbours,1000,50,0.5273389666666667,0.02497205
PlugInvalid_neighbours,1000,50,0.45268919999999996,0.7197045
PlugInvalid_neighbours,1000,50,0.74052535,0.0
PlugInvalid_neighbours,1000,50,0.27283615,0.02497205
PlugInvalid_neighbours,1000,50,0.8755535166666664,0.794362
PlugInvalid_neighbours,1000,50,0.1998474166666666,0.697002
target-20-neighbours,1000,50,0.4733333333333333,0.0
target-20-neighbours,1000,50,0.52,0.5540535
target-20-neighbours,1000,50,0.6966666666666668,0.0
target-20-neighbours,1000,50,0.7566666666666667,0.0
target-20-neighbours,1000,50,0.745,0.0
target-20-neighbours,1000,50,0.7,0.0
