PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
5,5.18,3.3,0.77,0.21,143,64,79,distr,e,u,free,y,h,2462.68,187.56,2886.28,195.34,83,11.84328215,1,1,1,0,0,0,0,0,0
5,5.18,3.3,0.77,0.21,1,64,79,distr,e,u,free,y,h,2462.68,187.56,2886.28,195.34,83,11.80246054,1,1,1,0,0,0,0,0,0
0,5.18,3.3,0.77,0.21,427,64,79,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83,11.92814216,0.250988,0.350782,0,0.7623,0.2094,0.48585,0.0077,0.0077,0.0077
4,5.18,3.3,0.77,0.21,285,64,79,distr,e,u,free,y,h,500,200,2886.28,195.34,83,11.88477936,0.901855,1,1,0.88,0.1185,0.49925,0,0,0
5,5.18,3.3,0.77,0.21,143,64,79,distr,e,u,free,y,h,2956.94,197.36,2886.28,195.34,83,11.84330907,1,1,1,0,0,0,0,0,0
5,5.18,3.3,0.77,0.21,1,64,79,distr,e,u,free,y,h,2956.94,197.36,2886.28,195.34,83,11.80248048,1,1,1,0,0,0,0,0,0
0,5.04981153,2.231425853,0.6109599698,0.1269397776,266,33.05541893,78.53533449,foc,e,s,distr,y,u,58.26,254.49,1961.04,223.67,72.04101637,11.5494686,0.339927,0.43987,0,0.2079,0.1639,0.1859,0.5247,0.0648,0.29475
0,5.05,2.23,0.61,0.13,265,33,78,foc,e,s,distr,y,u,58.26,254.49,1961.04,223.67,72,11.54945028,0.34406,0.444057,0,0.3324,0.055,0.1937,0.5429,0.0396,0.29125
1,5.05,2.23,0.61,0.13,177,33,78,foc,e,s,distr,y,u,58.26,254.49,1727.25,213.81,72,11.52248231,0.0712232,0.170976,0,0.4783,0.0739,0.2761,0.2517,0.2517,0.2517
3,5.05,2.23,0.61,0.13,89,33,47,foc,e,s,distr,y,u,453.58,189.26,2790.44,200.64,72,11.49639291,0,0.0981446,0,0.1542,0.0021,0.07815,0.5543,0.1379,0.3461
4,5.05,2.23,0.61,0.13,1,33,47,foc,e,s,distr,y,u,1916.89,183.23,2790.44,200.64,72,11.47056211,0,0.0981446,0,0.4683,0.1729,0.3206,0,0,0
0,5.05,2.23,0.61,0.13,265,33,78,foc,e,s,distr,y,u,58.26,254.49,1961.04,223.67,72,11.54945028,0.369038,0.468939,0,0.2684,0.0511,0.15975,0.2808,0.2808,0.2808
3,5.05,2.23,0.61,0.13,177,33,78,foc,e,s,distr,y,u,156.52,242.37,2896.08,198.18,72,11.52249568,0.901855,1,1,0.1542,0.0021,0.07815,0.4251,0.0028,0.21395
4,5.05,2.23,0.61,0.13,89,33,78,foc,e,s,distr,y,u,1660.08,193.08,2896.08,198.18,72,11.49639324,0,0.0981446,0,0.3074,0.0121,0.15975,0,0,0
4,5.05,2.23,0.61,0.13,1,33,78,foc,e,s,distr,y,u,4561.95,81.82,2896.08,198.18,72,11.47055917,0,0.0981446,0,0.2988,0,0.1494,0,0,0
0,5.05,2.23,0.61,0.13,265,33,78,foc,e,s,distr,y,u,58.26,254.49,1961.04,223.67,72,11.54945028,0.356958,0.456821,0,0.1562,0.0127,0.08445,0.5853,0.0237,0.3045
3,5.05,2.23,0.61,0.13,177,33,78,foc,e,s,distr,y,u,156.52,242.37,2896.08,198.18,72,11.52249754,0.901085,0.999531,1,0.1542,0.0021,0.07815,0.5572,0.1351,0.34615
